brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,Touchscreen,msoffice,rating,Price
Lenovo,Intel,Core i3,10,8,DDR4,512,0,Windows,0,No,No,3,38990
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,45990
HP,Intel,Core i3,10,8,DDR4,512,0,Windows,0,No,Yes,4,42490
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,4,43970
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,Yes,4,39990
MSI,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,48990
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,4,54990
MSI,Intel,Core i3,10,8,DDR4,512,0,Windows,0,No,No,4,40990
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,3,41990
Lenovo,Intel,Core i3,11,8,DDR4,512,0,Windows,0,Yes,No,4,54990
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,4,44990
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,41250
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,3,44990
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,42990
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,0,Yes,No,4,60790
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,4,45650
DELL,Intel,Core i3,10,8,DDR4,512,0,Windows,0,No,Yes,3,41990
DELL,Intel,Core i3,10,8,DDR4,512,0,Windows,0,No,No,4,45490
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,3,44990
Lenovo,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,Yes,4,42990
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,0,No,Yes,4,45490
HP,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,No,4,38799
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,0,Yes,Yes,3,69267
ASUS,Intel,Core i3,11,4,DDR4,512,0,Windows,0,No,Yes,3,51649
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,0,No,Yes,4,47990
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,No,4,40990
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,Yes,4,42990
ASUS,Intel,Core i3,11,4,DDR4,512,0,Windows,0,No,No,3,44890
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,No,4,41490
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,0,No,No,3,50990
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,0,No,Yes,4,48900
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,No,4,40990
DELL,Intel,Core i3,10,4,DDR4,512,0,Windows,0,No,No,3,41790
Lenovo,Intel,Core i3,11,4,DDR4,512,0,Windows,0,Yes,Yes,3,57999
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,0,No,No,3,45930
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,0,Yes,Yes,4,55490
ASUS,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,No,3,32890
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,Yes,4,35990
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,4,42490
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,3,42190
DELL,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,Yes,4,39490
HP,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,Yes,4,43690
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,35990
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,4,43800
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,0,No,No,3,38990
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,34990
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,0,No,No,3,38900
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,39990
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,4,40890
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,36990
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,0,No,Yes,3,39990
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,0,No,Yes,4,41990
